id;devis;bon_de_commande;numero_facture;montant_facture;date_facture;date_echeance;date_decharge
1;B2B;Hryvnia;mint green intangible Micronesia;84406;2025-05-06;2025-05-07;2025-05-07
2;Tuvalu Directives seize;Cambridgeshire program database;Gorgeous Steel Ball;56956;2025-05-06;2025-05-07;2025-05-07
3;program white;Cape Verde Agent;knowledge base;75906;2025-05-07;2025-05-07;2025-05-06
4;SAS Wall;violet frame parse;generate gold Coordinator;15947;2025-05-06;2025-05-06;2025-05-06
5;connect Engineer Refined Wooden Keyboard;bus;reboot pixel;38544;2025-05-06;2025-05-06;2025-05-06
6;feed Georgia;visionary Ouguiya North Carolina;cyan best-of-breed deposit;86424;2025-05-07;2025-05-06;2025-05-07
7;International redundant;installation;Personal Loan Account;6275;2025-05-07;2025-05-07;2025-05-07
8;challenge Configuration;channels Solutions Computers;radical array;78551;2025-05-07;2025-05-07;2025-05-06
9;Open-architected Place;Small;Berkshire;381;2025-05-07;2025-05-07;2025-05-07
10;programming out-of-the-box synthesizing;Security Handcrafted Wooden Salad;Supervisor reciprocal front-end;89347;2025-05-06;2025-05-06;2025-05-07
